domain,runs,success_rate,avg_steps,avg_screenshot_mb,avg_response_tokens,avg_runtime_log_kb
chrome,138,0.377,18.38,16.827,8511.0,77.95
gimp,78,0.667,16.9,16.646,7762.2,71.13
libreoffice_calc,141,0.184,29.06,12.852,12974.3,122.77
libreoffice_impress,141,0.362,15.06,10.135,6553.4,61.3
libreoffice_writer,69,0.319,21.42,9.813,9608.8,90.8
multi_apps,279,0.154,36.88,22.443,17227.2,163.99
os,72,0.528,14.03,27.202,6223.9,57.36
thunderbird,45,0.467,24.8,17.492,11644.2,109.22
vlc,51,0.333,13.37,28.645,6154.8,57.48
vs_code,69,0.623,18.48,7.363,8524.1,78.4
